"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 02 13:32:16 GMT-03:00 2021","Sat Oct 02 13:32:17 GMT-03:00 2021","1612","","Spies, Stubs, and Clock","","","","cy.tick() - move time in the browser",""
"passed","Sat Oct 02 13:29:40 GMT-03:00 2021","Sat Oct 02 13:29:43 GMT-03:00 2021","2832","","Cookies","","","","cy.setCookie() - set a browser cookie",""
"passed","Sat Oct 02 13:31:09 GMT-03:00 2021","Sat Oct 02 13:31:16 GMT-03:00 2021","7043","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Sat Oct 02 13:28:18 GMT-03:00 2021","Sat Oct 02 13:28:25 GMT-03:00 2021","7112","","Aliasing","","","",".as() - alias a route for later use",""
"passed","Sat Oct 02 13:27:17 GMT-03:00 2021","Sat Oct 02 13:27:26 GMT-03:00 2021","8842","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Sat Oct 02 13:27:59 GMT-03:00 2021","Sat Oct 02 13:28:03 GMT-03:00 2021","3830","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Sat Oct 02 13:27:02 GMT-03:00 2021","Sat Oct 02 13:27:17 GMT-03:00 2021","14840","","Actions","","","",".click() - click on a DOM element",""
"passed","Sat Oct 02 13:32:25 GMT-03:00 2021","Sat Oct 02 13:32:27 GMT-03:00 2021","2023","","Traversal","","","",".closest() - get closest ancestor DOM element",""
"passed","Sat Oct 02 13:32:41 GMT-03:00 2021","Sat Oct 02 13:32:43 GMT-03:00 2021","1270","","Traversal","","","",".parentsUntil() - get parent DOM elements from DOM elements until el",""
"passed","Sat Oct 02 13:31:59 GMT-03:00 2021","Sat Oct 02 13:32:01 GMT-03:00 2021","1518","","Querying","","","",".within() - query DOM elements within a specific element",""
"passed","Sat Oct 02 13:26:58 GMT-03:00 2021","Sat Oct 02 13:27:02 GMT-03:00 2021","3463","","Actions","","","",".submit() - submit a form",""
"passed","Sat Oct 02 13:26:47 GMT-03:00 2021","Sat Oct 02 13:26:50 GMT-03:00 2021","2742","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Sat Oct 02 13:33:31 GMT-03:00 2021","Sat Oct 02 13:33:33 GMT-03:00 2021","2216","","Window","","","","cy.window() - get the global window object",""
"passed","Sat Oct 02 13:31:38 GMT-03:00 2021","Sat Oct 02 13:31:40 GMT-03:00 2021","2082","","Network Requests","","","","cy.request() with query parameters",""
"passed","Sat Oct 02 13:31:34 GMT-03:00 2021","Sat Oct 02 13:31:38 GMT-03:00 2021","3467","","Network Requests","","","","cy.request() - verify response using BDD syntax",""
"passed","Sat Oct 02 13:29:23 GMT-03:00 2021","Sat Oct 02 13:29:25 GMT-03:00 2021","2165","Connectors",".then()","","","","yields the value yielded by the last Cypress command inside",""
"passed","Sat Oct 02 13:27:51 GMT-03:00 2021","Sat Oct 02 13:27:56 GMT-03:00 2021","4987","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Sat Oct 02 13:31:29 GMT-03:00 2021","Sat Oct 02 13:31:34 GMT-03:00 2021","5093","","Network Requests","","","","cy.request() - make an XHR request",""
"passed","Sat Oct 02 13:32:29 GMT-03:00 2021","Sat Oct 02 13:32:30 GMT-03:00 2021","1261","","Traversal","","","",".filter() - get DOM elements that match the selector",""
"passed","Sat Oct 02 13:32:45 GMT-03:00 2021","Sat Oct 02 13:32:47 GMT-03:00 2021","1155","","Traversal","","","",".prevUntil() - get all previous sibling DOM elements until el",""
